Question,Similar/Dissimilar,Output
How Much Is Car Insurance For 21 Yr Old?,Why Purchase Critical Illness Insurance?,0
How Much Does Allstate Auto Insurance Cost?,Can Annuities Be Willed?,0
How To Use Disability Insurance?,What Kind Of Life Insurance Should I Buy?,0
Who Benefits From Disability Insurance?,Does Homeowners Insurance Cover A Death In The Home?,0
Does US Auto Insurance Cover Canada?,What Is A 457 B Retirement Plan?,0
What Is The Cost For Long Term Care Insurance?,Who Should Have Critical Illness Insurance?,0
What Is Employee Disability Insurance?,How To Get Good Homeowners Insurance?,0
Who Can Get Renters Insurance?,What Is 10 Year Term Life Insurance?,0
Can You Buy Motorcycle Insurance For 1 Month?,Does Long Term Care Insurance Make Sense?,0
Why Do Health Insurance Rates Increase?,What Does No Fault Auto Insurance Mean?,0
How Much Does Renters Insurance Usually Cost A Month?,"I have been covered under automobile insurance with the same company for years, i'm changing companies and i've already provided the declaration page to my new insurance company but they stated they need proof of coverage faxed to them. What else could I send",0
Does AAA Provide Renters Insurance?,Does The Federal Government Offer Disability Insurance?,0
Does My Husband Have Life Insurance?,How Much Do Medicare Advantage Plans Cost?,0
Under What Circumstances Will Life Insurance Not Pay?,What Is Dwelling In Home Insurance?,0
Does Life Insurance Count Net Worth?,Does A Roth IRA Double Every 7 Years?,0
Is Xalatan Covered By Medicare?,Can I Get Car Insurance The Same Day?,0
Can You Roll A 401K Into A Variable Annuity?,Can HIV Positive People Get Life Insurance?,0
How Much To Budget For Homeowners Insurance?,What Is Good Renters Insurance?,0
Can I Put Insurance On An Automobile I Don't Own?,Which Health Insurance Policy Is Good?,0
How Much Is Renters Insurance For College Students?,What Is The Best Long Term Care Insurance In Arizona?,0
What Should I Know About Annuities?,Does Health Insurance Cover A Dermatologist?,0
What Do Employers Pay For Health Insurance?,What Is The Best Affordable Life Insurance?,0
Does Medicare Cover Zostavax Vaccine?,Has Prolia Coverage Changed Under Medicare Part D?,0
What Affects Homeowners Insurance Premiums?,How Much Optional Life Insurance Do I Need?,0
What Health Insurance Plans Cover Maternity?,What Is Permanent Disability Insurance?,0
Will Home Insurance Pay For Roof Replacement?,What Kind Of Coverage Do I Need For Homeowners Insurance?,0
Is A Life Insurance Policy Part Of An Estate?,How Long Does It Take To Get Insurance Money From Car Accident?,0
Does Life Insurance Automatically Go To A Spouse?,Does Medicare Cover Lymphedema Sleeves?,0
Who Is Policy Owner Of A Life Insurance Policy?,Can You Sue Someone For Not Having Car Insurance?,0
Does Medicare Cover Januvia?,What Is The Fine For Not Having Car Insurance In Wisconsin?,0
What Are Life Annuities?,How To Cancel A Life Insurance Policy?,0
Who Can Purchase Homeowners Insurance?,What Is PCIP Health Insurance?,0
How Much Is Individual Health Insurance In New Jersey?,Does Health Insurance Cover A Sports Injury?,0
What To Look For In A Good Health Insurance Plan?,Can You Get Life Insurance If You Skydive?,0
Does Suze Orman Hate Whole Life Insurance?,Do Life Insurance Agents Really Care Or Do They Just Want To Make A Sale?,0
How Much Does It Cost To Add A Named Driver To Car Insurance?,Is Mental Health Covered By Insurance?,0
Is Disability Insurance The Same As Workers Compensation?,Can You Have Two Long Term Disability Insurance Policies?,0
When Was Universal Life Insurance Created?,Who Does Geico Use For Home Insurance?,0
Where Do You Get Disability Insurance?,Where Can I Find Insurance Against Disability?,1
Does Each Tenant Need Renters Insurance?,Does Every Renter Require Renters Insurance?,1
Can Life Insurance Refuse To Pay?,Does Life Insurance Have the Right to Withhold Payment?,1
Does Long Term Care Insurance Cover Assisted Living?,Does Assisted Living Get Covered by Long Term Care Insurance?,1
How Do I Choose A Medigap Plan?,How Should I Select A Medigap Policy?,1
When Does Obamacare Start?,When Does Obamacare Take Effect?,1
How Much Does Life Insurance Typically Cost?,How Much Is The Average Cost of Life Insurance?,1
Is Life Insurance For Life?,Is Life Covered by Insurance?,1
What Is Listed On A Group Life Certificate Of Insurance?,What Is Included On An Insurance Certificate For Group Life?,1
Why Is Boys Car Insurance Higher?,Why Does Boy's Auto Insurance Cost More?,1
Does Homeowners Insurance Cover Termites?,Are Termites Included in Homeowners Insurance?,1
Can I Get Life Insurance If I Have Lung Cancer?,Can Someone With Lung Cancer Obtain Life Insurance?,1
How Much Does The Average Person Pay For Life Insurance?,What Is The Typical Person's Life Insurance Cost?,1
Why Are Indexed Annuities Bad?,Why Are Annuities With Indexes Bad?,1
What Is The Arkansas Law On Domestic Partner And Health Insurance?,What Does Arkansas's Domestic Partner and Health Insurance Law Say?,1
How Much Will My Auto Insurance Increase After An Accident?,"After an Accident, How Much Will My Auto Insurance Increase?",1
What Is Home Insurance Declaration Page?,Is a Declaration Page for Home Insurance?,1
How Much Is A Medicare Advantage Plan?,What Is The Cost Of An Advantage Medicare Plan?,1
How Much Can You Borrow From Your Life Insurance Policy?,How much of your life insurance policy may you borrow?,1
Who Is Foresters Life Insurance?,Foresters Life Insurance: Who Is It?,1
Does Your Home Insurance Go Up After A Claim?,Does a Claim Increase Your Home Insurance?,1
Can You Get Car Insurance After An Accident?,Can You Purchase Auto Insurance Following An Accident?,1
Who Has The Best Rates For Renters Insurance?,Who Offers Renters Insurance at the Best Rates?,1
Does Home Insurance Cover Ac Unit?,Does Home Insurance Include Air Conditioning?,1
What Exactly Does It Mean When A Life Insurance Policy Is Assigned?,What Does the Assignment of a Life Insurance Policy Mean Exactly?,1
Does Homeowners Insurance Cover Water In Crawl Space?,Does Water in Crawl Space Get Covered by Homeowners Insurance?,1
What Is Retirement Accumulation Plan?,A Retirement Accumulation Plan: What Is It?,1
How Can I Borrow Against My Life Insurance?,What is the process for borrowing against life insurance?,1
How To Plan For Retirement In Your 40s?,Ways to Make Retirement Plans in Your Forties?,1
What Is Fegli Basic Life Insurance?,Fegli Basic Life Insurance: What Is It?,1
What Is A Good Renters Insurance Policy?,What Makes A Good Policy For Renters Insurance?,1
What Is The Difference Between Medicaid And Medicare?,What Distinguishes Medicare From Medicaid?,1
How Can I Get My Health Insurance To Pay For A Tummy Tuck?,How Can My Health Insurance Cover A Tummy Tuck Procedure?,1
Why Were Medigap Plans Implemented?,Why Were Medigap Policies Put Into Place?,1
How To Get Life Insurance For Someone Else?,How Can I Obtain Life Insurance for Another Person?,1
Does State Farm Sell Health Insurance?,Does State Farm Provide Medical Coverage?,1
Can You Get Life Insurance On Anybody?,Does Anyone Qualify for Life Insurance?,1
What Does Allstate Renters Insurance Cover?,What Is Covered by Allstate Renters Insurance?,1
Who Sells Short Term Disability Insurance?,Who Offers Insurance for Short-Term Disability?,1
What Type Of Retirement Plan Is A Pension?,A pension is what kind of retirement plan?,1
Is A Shed Covered By Homeowners Insurance?,Does Homeowners Insurance Cover Sheds?,1
How Much Is Medicare On SSDI?,How Much Does Medicare Cover With SSDI?,1
What Is A Life Insurance Retirement Plan?,A life insurance retirement plan: What Is It?,1
What Is The Difference Between Life Insurance And Annuities?,What Distinguishes Annuities From Life Insurance?,1
Does New York Life Sell Disability Insurance?,Does New York Life Provide Insurance for Disability?,1
How Much Life Insurance Should You Carry?,What Level of Life Insurance Is Adequate?,1
Is A Roth IRA A Qualified Retirement Plan?,Is an Individual Retirement Account (IRA) Eligible?,1
Can A Grandchild Be Added To Health Insurance?,Is It Possible to Add a Grandchild to a Health Insurance Plan?,1
Can You Deduct Medicare Premiums From Taxes?,Are Medicare Premiums Tax Deductible?,1
Does Medicaid Pay Part B Of Medicare?,Does Medicaid Cover Medicare Part B?,1
Does Scuba Diving Affect My Life Insurance?,Does My Life Insurance Change If I Go Scuba Diving?,1
Will My Homeowners Insurance Cover Renters?,Can Renters Be Insured by My Homeowners Policy?,1
Does Health Insurance Increase With Age?,Does Age Affect the Cost of Health Insurance?,1
How Much Home Insurance Do We Need?,What Is the Required Amount for Home Insurance?,1
How Much Does Single Premium Life Insurance Cost?,What Is The Price Of A Single Premium Life Insurance?,1
Can I Use A P.O. Box For Car Insurance?,Can I Get Auto Insurance Through a P.O. Box?,1
Which Life Insurance Is Best For Young People?,What Is The Best Life Insurance For Young People?,1
How To Choose A Good Life Insurance Policy?,How Can I Select A Reputable Life Insurance Policy?,1
What Does Medigap Mean?,What Is Meant by Medigap?,1
When Can I Sign Up For Medicare D?,When Is Medicare D Enrollment Open?,1
When Is Private Health Insurance Worth It?,Is It Worth It to Get Private Health Insurance?,1
When Should Someone Get Life Insurance?,When Is It Time to Obtain Life Insurance?,1
How Much Is Car Insurance For 21 Yr Old?,What Is The Cost Of 21-Year-Old Car Insurance?,1
How Much Does Allstate Auto Insurance Cost?,What Is the Price of Allstate Auto Insurance?,1
How To Use Disability Insurance?,How Can Disability Insurance Be Used?,1
Who Benefits From Disability Insurance?,Who Gains From Insurance Against Disability?,1
Does US Auto Insurance Cover Canada?,Does Car Insurance in the US Cover Canada?,1
What Is The Cost For Long Term Care Insurance?,How Much Does Long Term Care Insurance Cost?,1
What Is Employee Disability Insurance?,Employee Disability Insurance: What Is It?,1
Who Can Get Renters Insurance?,Who Is Eligible for Renters Insurance?,1
Can You Buy Motorcycle Insurance For 1 Month?,Is One Month Motorcycle Insurance Available?,1
Why Do Health Insurance Rates Increase?,Why Do Rates for Health Insurance Increase?,1
How Much Does Renters Insurance Usually Cost A Month?,How Much A Month Typically Does Renters Insurance Cost?,1
Does AAA Provide Renters Insurance?,Does AAA Provide Insurance for Renters?,1
Does My Husband Have Life Insurance?,Has My Spouse Purchased Life Insurance?,1
Under What Circumstances Will Life Insurance Not Pay?,In Which Situations Does Life Insurance Not Pay?,1
Does Life Insurance Count Net Worth?,Is Net Worth Considered for Life Insurance?,1
Is Xalatan Covered By Medicare?,Does Medicare Cover Xalatan?,1
Can You Roll A 401K Into A Variable Annuity?,Can 401(k) Funds Be Rolled Into Variable Annuities?,1
How Much To Budget For Homeowners Insurance?,How Much Does Homeowners Insurance Cost?,1
Can I Put Insurance On An Automobile I Don't Own?,Is It Possible to Insure a Car That I Don't Own?,1
How Much Is Renters Insurance For College Students?,How Much Does College Student Renters Insurance Cost?,1
What Should I Know About Annuities?,How Should I Understand Annuities?,1
What Do Employers Pay For Health Insurance?,How Much Does Health Insurance Cost for Employers?,1
Does Medicare Cover Zostavax Vaccine?,Does Medicare Insure Vaccine Zostavax?,1
What Affects Homeowners Insurance Premiums?,What Determines Premiums for Homeowners Insurance?,1
What Health Insurance Plans Cover Maternity?,Which Health Plans Offer Maternity Coverage?,1
Will Home Insurance Pay For Roof Replacement?,Will Roof Replacement Be Covered by Home Insurance?,1
Is A Life Insurance Policy Part Of An Estate?,Is A Policy On Life Insurance Included In An Estate?,1
Does Life Insurance Automatically Go To A Spouse?,Does A Spouse Get Life Insurance By Default?,1
Who Is Policy Owner Of A Life Insurance Policy?,"In a life insurance policy, who is the policy owner?",1
Does Medicare Cover Januvia?,Is Januvia Covered by Medicare?,1
What Are Life Annuities?,How Do Life Annuities Work?,1
Who Can Purchase Homeowners Insurance?,Who Is Eligible to Buy Homeowners Insurance?,1
How Much Is Individual Health Insurance In New Jersey?,"In New Jersey, How Much Does Individual Health Insurance Cost?",1
What To Look For In A Good Health Insurance Plan?,What Qualifies As A Quality Health Insurance Plan?,1
Does Suze Orman Hate Whole Life Insurance?,Is Whole Life Insurance Something Suze Orman Hates?,1
How Much Does It Cost To Add A Named Driver To Car Insurance?,What Is The Price Of Adding A Named Driver To An Auto Insurance Policy?,1
Is Disability Insurance The Same As Workers Compensation?,Is Workers Compensation and Disability Insurance the Same Thing?,1
When Was Universal Life Insurance Created?,When was the creation of universal life insurance?,1
